HashID,Parameters,FLOPs,device,accelerator_backend,base_acc_test (%),inference_acc (%),warm_up,latency_ms,energy_J,RAM_usage_MB,swap_usage_MB,peak_memory_MB,Power_W,notes
c279a036dd8d3f014d8c01b10350a781,9253130,1379603456,jetson,onnxruntime_gpu,85.8,85.8,50,74.28,173.49,1870.61,2102.26,1030.75,7.59,
5ef3f54057e4d421b46c60cd945bc835,8992394,1340478464,jetson,onnxruntime_gpu,88.3,88.3,50,46.46,252.44,1840.05,2033.36,1103.81,7.08,
3384125a917417a90011cf90c90823d7,6928010,1038488576,jetson,onnxruntime_gpu,86.6,86.6,50,25.4,146.5,1825.12,2040.74,1118.16,7.54,
5831fc3b763335a68ad15db900b0f8fc,8992394,1340478464,jetson,onnxruntime_gpu,88.3,88.3,50,47.25,247.76,1812.97,2070.87,1054.23,6.8,
7c0ecbb552f84ac37cf3de395b313ca9,8992394,1340478464,jetson,onnxruntime_gpu,88.1,88.1,50,30.32,175.89,1810.88,2070.7,1052.48,7.59,
5f509cddcdbbdf2c220f60696f9dc152,13381898,1983583232,jetson,onnxruntime_gpu,88.2,88.2,50,37.05,207.57,1837.15,2075.47,1072.54,7.4,
96b2d252659a05e8d62bf19a960e1f5d,11317514,1681593344,jetson,onnxruntime_gpu,88.0,88.0,50,34.16,200.89,1830.17,2096.92,1062.59,7.72,
eb3c0bfacdc3dc19c5c1c67ba225d6b6,5323975,798025984,jetson,onnxruntime_gpu,88.5,88.5,50,23.07,142.84,1789.49,2102.07,1045.7,8.01,
4cf84f360d0466cb331fa39834412531,4404415,663280384,jetson,onnxruntime_gpu,87.8,87.8,50,22.76,131.96,1788.08,2102.03,1046.34,7.52,
afc730ea4adca9e8369df11e6010bdb5,4404415,663280384,jetson,onnxruntime_gpu,87.8,87.8,50,21.5,126.3,1788.63,2101.93,1046.04,7.64,
c279a036dd8d3f014d8c01b10350a781,9253130,1379603456,orange,rknn_npu,85.8,85.8,50,4.66,16.41,716.48,0.0,303.58,2.42,
4cf84f360d0466cb331fa39834412531,4404415,663280384,orange,rknn_npu,87.8,87.8,50,4.96,15.16,774.29,0.0,325.45,2.23,
5ef3f54057e4d421b46c60cd945bc835,8992394,1340478464,orange,rknn_npu,88.3,88.3,50,4.51,16.73,744.03,0.0,332.73,2.51,
3384125a917417a90011cf90c90823d7,6928010,1038488576,orange,rknn_npu,86.6,86.6,50,4.34,15.55,741.18,0.0,328.8,2.41,
5f509cddcdbbdf2c220f60696f9dc152,13381898,1983583232,orange,rknn_npu,88.2,88.2,50,5.36,19.66,753.85,0.0,341.19,2.61,
5831fc3b763335a68ad15db900b0f8fc,8992394,1340478464,orange,rknn_npu,88.2,88.2,50,4.45,17.79,770.41,0.0,359.44,2.64,
afc730ea4adca9e8369df11e6010bdb5,4404415,663280384,orange,rknn_npu,87.8,87.8,50,5.22,15.29,736.81,0.0,325.75,2.18,
eb3c0bfacdc3dc19c5c1c67ba225d6b6,5323975,798025984,orange,rknn_npu,88.5,88.5,50,4.62,15.09,738.03,0.0,327.23,2.29,
96b2d252659a05e8d62bf19a960e1f5d,11317514,1681593344,orange,rknn_npu,88.0,88.0,50,5.05,18.85,749.5,0.0,337.36,2.6,
7c0ecbb552f84ac37cf3de395b313ca9,8992394,1340478464,orange,rknn_npu,88.1,88.1,50,6.33,18.37,745.4,0.0,332.9,2.28,
5f509cddcdbbdf2c220f60696f9dc152,13381898,1983583232,rasp,pytorch_cpu,88.2,88.2,50,98.33,494.44,814.47,0.0,339.27,8.02,
4cf84f360d0466cb331fa39834412531,4404415,663280384,rasp,pytorch_cpu,87.8,87.8,50,45.45,225.97,887.88,0.0,366.64,7.83,
5ef3f54057e4d421b46c60cd945bc835,8992394,1340478464,rasp,pytorch_cpu,88.3,88.3,50,79.82,363.91,888.45,0.0,366.66,7.47,
eb3c0bfacdc3dc19c5c1c67ba225d6b6,5323975,798025984,rasp,pytorch_cpu,88.5,88.5,50,52.98,240.93,829.53,0.0,366.75,7.4,
c279a036dd8d3f014d8c01b10350a781,9253130,1379603456,rasp,pytorch_cpu,85.8,85.8,50,88.39,375.56,876.05,0.0,366.75,7.16,
afc730ea4adca9e8369df11e6010bdb5,4404415,663280384,rasp,pytorch_cpu,87.8,87.8,50,48.81,214.44,926.14,0.0,366.75,7.23,
5831fc3b763335a68ad15db900b0f8fc,8992394,1340478464,rasp,pytorch_cpu,88.3,88.3,50,88.09,369.71,841.62,0.0,366.75,7.1,
96b2d252659a05e8d62bf19a960e1f5d,11317514,1681593344,rasp,pytorch_cpu,88.0,88.0,50,99.35,411.84,980.94,0.0,366.77,7.06,
3384125a917417a90011cf90c90823d7,6928010,1038488576,rasp,pytorch_cpu,86.6,86.6,50,69.07,290.92,891.83,0.0,366.77,7.07,
7c0ecbb552f84ac37cf3de395b313ca9,8992394,1340478464,rasp,pytorch_cpu,88.1,88.1,50,74.15,339.58,812.91,0.0,320.91,7.51,
